ID,지역,등급,농업면적,연도,라벨
1584,광주,A,27387,2023,0
64,전북,B,27128,2012,0
402,광주,A,63611,2022,1
1734,충남,A,97267,2005,1
823,강원,C,86725,2022,1
1128,서울,A,97906,2009,0
324,충북,A,50517,2017,0
414,울산,A,81983,2019,0
171,서울,C,4987,2012,0
279,서울,A,94768,2013,2
1386,전남,A,95746,2001,0
14,인천,A,7416,2013,0
2101,경남,B,14415,2024,0
728,광주,A,51878,2003,0
1879,서울,A,59096,2009,2
1044,전북,A,43857,2018,0
389,경기,B,8025,2023,0
1714,전북,B,4927,2021,0
164,광주,C,390,2014,0
437,대구,B,31782,2006,0
445,경북,A,64451,2010,0
193,경남,A,16200,2019,0
1115,전북,B,19801,2015,0
841,부산,C,33419,2018,0
474,부산,A,11088,2021,0
1278,경기,A,32552,2004,0
134,인천,A,12113,2005,0
290,경기,A,79833,2020,0
1811,충북,C,2538,2019,0
867,대전,B,91052,2010,0
496,충북,A,23200,2008,0
1769,경기,A,20667,2024,0
618,경북,A,96372,2004,0
2115,강원,B,56810,2004,0
884,부산,A,9942,2005,0
1640,충북,B,25554,2024,0
2141,전남,C,63966,2001,0
1240,대전,C,34643,2015,0
2198,경기,A,56549,2019,0
736,강원,C,37020,2008,0
1041,부산,C,38863,2024,0
1770,서울,C,1162,2010,0
210,충남,A,95550,2019,0
1845,충남,C,54746,2014,0
12,충남,A,27057,2002,0
1086,충남,B,3263,2004,1
1850,광주,B,45257,2019,0
1348,강원,C,31509,2006,0
1267,대구,A,87226,2020,0
2016,경기,A,99228,2020,0
129,전남,C,18288,2001,0
132,울산,A,34999,2005,0
2366,대구,C,49647,2024,0
1703,서울,A,89875,2004,0
988,울산,C,15409,2017,0
1309,부산,C,10704,2006,0
743,대전,A,99535,2019,0
934,전남,B,3328,2007,0
849,전북,B,14212,2017,0
1836,대구,C,99565,2020,0
1611,서울,B,85017,2001,0
1532,대전,A,38085,2003,0
400,서울,B,20026,2016,0
1949,경기,C,20246,2003,1
1830,광주,A,34153,2006,0
1545,광주,A,98301,2001,0
938,전남,B,42789,2009,0
121,강원,B,37126,2018,0
1672,인천,C,18444,2011,2
314,전북,B,24352,2015,0
2229,전북,B,70212,2016,0
345,경북,B,1135,2017,0
521,경기,A,29346,2010,0
715,광주,C,52954,2012,0
153,전북,B,79748,2003,0
1912,울산,B,85710,2016,0
610,대전,B,2582,2014,0
942,광주,A,15161,2007,0
2017,대구,A,13332,2003,0
156,인천,B,84893,2014,0
334,울산,C,44817,2019,0
1492,경남,A,61382,2002,0
1575,서울,A,97784,2004,0
514,경북,C,72618,2006,0
76,울산,C,47136,2017,0
482,경기,A,66198,2009,0
2311,대전,A,52152,2011,0
2279,전남,B,20471,2017,0
1995,전북,C,86006,2018,0
1957,전북,B,32468,2001,2
2388,경남,B,55372,2008,0
1056,대구,B,6588,2024,0
910,인천,C,24520,2009,0
233,울산,C,54846,2015,0
1433,대구,A,78673,2023,0
1633,서울,C,85713,2020,0
1521,경북,A,36344,2017,0
383,부산,B,82410,2021,0
384,경북,C,23249,2001,0
2081,강원,A,96623,2003,0
1563,충남,A,70443,2006,2
302,경남,B,62913,2000,0
1417,서울,A,85825,2006,0
622,광주,C,36946,2015,0
253,부산,C,65304,2014,1
198,대구,C,59723,2022,0
2080,서울,A,82667,2014,0
1898,대전,C,7698,2001,0
2064,충북,B,57725,2009,0
2275,충북,B,76947,2022,0
426,경기,A,73540,2010,2
1737,서울,C,96838,2001,1
717,인천,C,60594,2017,0
1165,경기,B,94221,2009,0
2262,전남,B,51323,2016,0
613,경북,B,92911,2014,2
1222,충북,C,75320,2016,0
1421,충남,A,34218,2006,0
673,인천,C,44387,2014,0
535,서울,B,85281,2024,0
2364,전북,C,42815,2022,0
719,서울,A,49523,2015,0
311,경남,A,81133,2007,1
1456,경남,A,11796,2023,0
1079,광주,C,20790,2023,0
601,광주,C,43950,2018,0
1578,경남,C,40470,2012,0
844,경기,C,68799,2013,0
2069,강원,A,28932,2003,0
2124,강원,B,87536,2011,0
206,전남,C,23621,2004,0
1788,전북,C,11985,2021,0
1726,충북,A,83830,2012,0
1416,전남,B,18817,2004,0
1473,경북,B,15087,2015,0
1924,강원,B,37420,2021,0
358,전북,B,50490,2002,1
1531,경남,C,97138,2016,0
15,광주,A,88692,2007,0
749,전북,B,49146,2002,1
294,대전,A,48443,2007,2
1665,경남,B,32767,2008,0
1659,충남,A,96132,2010,1
443,경북,C,49394,2003,0
924,충남,B,78654,2009,0
28,전북,B,61241,2018,2
2283,전남,A,87940,2008,0
1363,전북,B,75415,2014,0
317,전남,A,70822,2011,0
993,충북,B,44826,2015,0
1162,울산,B,74641,2007,1
371,인천,A,7611,2011,0
2261,대구,B,925,2009,0
1295,서울,A,66810,2011,0
72,대구,A,45047,2016,0
276,인천,C,1307,2024,0
71,경기,A,57616,2020,0
1000,서울,A,18264,2009,0
809,경기,C,62768,2011,0
1673,경기,A,16525,2006,1
941,부산,B,52447,2015,0
939,대전,B,82385,2020,0
1500,광주,A,99112,2011,0
2122,경남,B,83385,2002,1
450,강원,A,82723,2003,0
1487,인천,B,22909,2008,1
1197,충북,B,91401,2001,0
478,경기,B,17414,2002,0
281,경기,B,36964,2010,0
593,강원,B,718,2021,1
1074,충북,A,13901,2021,0
2084,충북,A,17305,2024,1
1293,서울,B,97058,2018,0
510,대구,C,64926,2016,0
2266,충남,C,62218,2021,0
2178,경남,B,99783,2010,0
831,전남,B,70015,2019,0
258,충남,C,97719,2017,0
91,대전,C,32921,2002,0
560,인천,A,61511,2011,0
1527,대전,A,19230,2001,0
2374,광주,C,39450,2012,0
2217,인천,A,18691,2018,0
1787,경기,B,35423,2003,0
1383,인천,C,76997,2019,0
2390,대전,A,28380,2010,0
1448,인천,A,94214,2010,0
37,서울,A,22319,2014,0
2297,충남,C,82937,2005,0
1382,울산,C,20317,2019,0
586,충북,B,14672,2001,0
83,서울,C,69088,2012,0
2036,전남,A,4838,2000,0
1908,전남,B,60520,2015,0
1269,대전,A,25955,2003,1
752,부산,A,204,2009,0
1802,경기,C,10771,2011,0
531,대전,C,54936,2016,0
1523,광주,A,35187,2005,0
2319,전북,A,30064,2017,0
602,대전,C,37406,2017,0
1661,전남,C,5878,2006,0
1776,울산,C,14759,2017,0
699,울산,C,51728,2023,0
95,전남,C,2801,2017,1
1393,강원,C,4007,2018,0
2150,전남,C,61817,2013,2
1705,광주,B,21098,2009,0
595,전남,C,4435,2019,0
110,전북,B,65943,2001,0
2020,광주,C,84720,2014,0
1723,전북,A,34579,2022,0
639,경기,A,27198,2017,2
43,전북,A,45476,2012,0
1121,서울,B,19943,2012,0
733,울산,C,31710,2014,1
1036,광주,B,54220,2003,0
68,강원,B,2709,2019,0
1797,광주,C,88775,2004,2
1335,부산,B,13781,2000,0
1687,울산,C,94838,2014,0
1123,강원,A,11670,2015,0
1551,강원,B,41248,2004,0
351,강원,A,21870,2005,2
449,전북,C,15955,2022,0
538,대전,A,49171,2023,0
547,전북,A,69725,2002,0
1773,대전,A,38752,2002,0
1471,대구,C,53823,2021,2
1795,서울,B,21685,2002,0
1081,대전,C,83495,2015,0
1628,경북,B,72085,2006,1
280,경기,A,45801,2023,0
411,충남,C,47196,2024,0
737,경북,A,44949,2012,1
94,대전,C,31846,2018,0
688,서울,B,81472,2023,0
362,울산,C,12626,2001,0
1064,울산,C,59175,2018,0
59,강원,B,89273,2012,0
930,광주,A,66799,2024,0
323,부산,C,7675,2000,0
458,부산,A,3607,2023,0
1590,서울,A,90711,2007,0
1700,전북,C,45284,2005,0
760,부산,B,20885,2002,0
32,충북,B,53460,2022,0
1029,충남,B,30135,2020,0
2066,경기,A,36406,2016,0
572,전북,A,65049,2011,0
1614,경북,A,85482,2019,0
69,충북,C,18376,2004,0
603,전남,B,34873,2005,0
1389,울산,B,2867,2022,1
1601,전남,C,35700,2013,0
1808,광주,C,40131,2015,1
118,광주,B,84041,2008,0
489,인천,B,6969,2013,0
2258,대구,C,35893,2017,0
1199,전북,B,63628,2013,0
2156,경기,A,74287,2010,0
75,전북,C,3274,2024,0
1618,서울,B,6783,2021,0
976,서울,B,90696,2018,0
1594,전북,C,25417,2023,0
1063,경북,B,71095,2012,0
201,울산,A,16524,2006,0
1093,울산,B,29933,2008,0
2375,광주,B,39662,2016,0
92,충북,C,11157,2000,1
975,경남,A,79656,2023,0
1043,대전,C,86695,2009,0
1402,인천,B,69498,2018,0
1807,부산,B,73035,2000,0
1404,울산,A,41575,2006,0
680,경남,A,35711,2024,0
791,경남,C,14909,2008,0
1725,대구,B,64141,2006,0
116,경기,A,66217,2021,0
56,부산,B,30107,2005,0
1294,대구,B,5699,2012,2
875,경남,B,918,2014,0
1193,강원,B,35555,2010,0
409,서울,B,5669,2016,0
52,대구,C,35518,2006,0
1761,충남,A,77987,2010,0
720,부산,A,99162,2019,2
1881,서울,A,21154,2008,0
629,서울,C,88000,2014,0
1592,대전,B,80123,2021,0
1805,충남,C,41778,2014,0
1163,경북,A,52510,2004,0
1202,전남,B,89038,2012,0
1846,경기,C,5544,2009,0
2383,광주,A,43895,2023,0
1145,서울,B,74056,2013,0
1026,광주,A,51935,2023,0
669,전북,A,58848,2003,0
2265,전남,B,46419,2013,0
2395,전북,A,45748,2023,0
672,서울,A,20177,2012,0
2305,전남,A,91564,2018,0
1793,충북,B,321,2015,0
1931,경기,A,22395,2002,0
1911,충북,B,34783,2000,0
615,광주,B,38760,2012,0
1209,전남,B,29964,2004,2
933,전북,B,88152,2001,0
1941,서울,A,88315,2015,0
2035,광주,A,99246,2013,2
2288,전남,B,57175,2014,1
895,광주,C,86796,2005,0
780,울산,A,50358,2009,0
2341,경남,A,30952,2010,0
2259,충남,C,77243,2008,0
289,경북,A,42138,2015,0
2078,경남,B,85490,2023,0
1457,대구,C,70022,2002,0
1817,대구,A,29328,2010,0
2169,충남,B,73374,2020,0
1637,울산,A,47948,2023,0
1157,인천,A,82807,2020,0
1045,경기,C,86056,2017,0
415,대전,B,10752,2015,0
2228,전북,B,81419,2004,0
763,광주,A,71247,2022,0
718,부산,A,72076,2009,0
244,부산,B,87729,2016,0
1368,광주,B,53593,2000,0
1619,경북,A,92073,2014,0
824,전남,B,98133,2014,0
1254,부산,C,44758,2011,0
1724,부산,A,86487,2020,0
203,전남,B,19553,2022,0
1274,대전,B,70428,2019,0
264,경북,B,22548,2012,0
2070,서울,A,9291,2017,0
322,대구,C,50932,2020,0
1955,울산,B,30792,2010,0
1555,경기,A,71546,2021,0
1988,대구,C,92869,2024,0
1377,충북,C,60653,2024,0
656,충남,C,17890,2018,0
2185,전남,C,86598,2019,0
1017,대전,C,22766,2004,0
2253,경기,A,57609,2013,0
2092,경북,A,20828,2018,0
446,광주,C,35437,2000,2
1509,충북,C,13599,2022,0
1066,부산,A,32955,2007,0
215,충북,A,84527,2001,0
145,부산,A,34676,2019,0
1651,전남,A,79212,2020,2
549,전북,A,65775,2000,0
1890,부산,B,80078,2009,0
1899,인천,B,80166,2017,1
2065,충남,B,86134,2008,0
1557,경기,B,9418,2009,0
1804,대전,B,85963,2004,2
525,부산,B,47862,2009,0
1023,서울,C,38231,2021,0
347,부산,A,95668,2013,0
298,충남,B,93028,2021,0
2143,광주,A,69923,2008,0
418,대전,A,79053,2004,0
1179,전북,C,72308,2017,0
2243,대전,A,93369,2012,0
1138,대전,B,99215,2021,0
1038,경북,A,73617,2014,0
2205,울산,A,17654,2007,0
1917,대전,A,84285,2008,0
1675,인천,B,65553,2016,0
742,강원,C,52199,2018,0
1035,경남,B,28019,2001,0
89,경북,A,88500,2022,0
251,광주,B,41168,2024,0
1221,부산,C,28055,2006,1
1345,광주,A,54196,2005,0
1164,인천,B,66407,2018,0
1435,경기,A,86445,2003,0
590,경기,A,43955,2004,0
501,강원,C,5521,2023,0
668,광주,C,59198,2001,0
951,전남,B,5751,2021,0
1015,충북,B,66984,2014,0
594,인천,A,11677,2008,2
1693,울산,B,22928,2000,0
2360,경북,A,84818,2021,0
1826,경남,A,70410,2007,0
2008,서울,A,40746,2020,0
352,대구,B,5040,2014,0
1068,광주,A,34701,2001,0
1344,경북,B,19310,2009,0
896,대전,A,34088,2011,0
548,전북,A,12208,2017,0
1620,부산,A,99353,2010,0
814,부산,B,52657,2001,0
57,울산,B,65459,2008,0
1109,충북,A,72780,2003,0
1506,서울,B,13700,2015,0
462,경남,C,14388,2017,0
1185,부산,C,43392,2011,0
2263,전북,B,26479,2022,0
1071,충북,A,66789,2017,0
1525,경북,A,33770,2006,0
2231,경북,A,78546,2021,0
1652,인천,B,70123,2023,0
1075,서울,B,80060,2011,0
1427,전남,A,62672,2003,0
148,광주,A,26401,2003,0
2103,강원,C,947,2005,0
1856,강원,B,86594,2022,0
1990,경북,A,7372,2024,0
2030,인천,C,81419,2004,0
985,대전,A,55864,2006,0
1496,전북,A,39792,2003,0
902,전북,C,57434,2016,0
1171,부산,C,44370,2004,0
1468,충남,C,29228,2009,0
1683,대전,B,38725,2001,0
216,전남,C,7847,2024,1
2120,충북,B,17577,2009,0
564,전북,B,5127,2000,0
1758,경기,B,75911,2013,0
1778,충북,C,3179,2009,0
877,대전,C,95041,2005,1
682,경기,A,35741,2015,0
1296,전북,B,93080,2006,0
1018,대전,C,59288,2001,0
804,충북,B,70131,2001,0
1530,서울,C,58002,2011,0
973,강원,B,65150,2017,0
2230,경남,B,41851,2004,0
293,충북,A,15439,2006,0
424,충남,A,29494,2001,0
1585,서울,A,31722,2002,0
2224,충북,B,63852,2007,1
2180,대전,B,43391,2001,0
495,전남,C,93783,2013,0
2204,전북,B,33673,2014,0
135,서울,C,75226,2008,0
1983,경기,B,54384,2023,0
186,경남,A,24336,2023,0
1268,경남,C,96508,2023,0
247,인천,A,45834,2003,1
2294,경북,B,72014,2018,0
2114,전남,B,55513,2011,0
1780,광주,B,2177,2008,0
865,인천,A,72568,2006,0
701,충북,A,17000,2003,0
1229,충남,C,70454,2003,0
908,전북,A,53028,2006,1
2252,경기,B,12721,2005,1
441,전북,A,35530,2023,0
1395,서울,C,10957,2012,0
764,광주,C,19260,2002,0
1956,울산,B,25217,2017,0
633,울산,A,26947,2000,0
906,전북,C,91057,2000,0
2161,서울,A,79377,2005,0
1451,경남,C,72921,2016,0
1886,경남,B,6136,2020,1
1262,대전,C,35945,2017,0
1858,충남,B,81532,2007,0
108,경북,A,19457,2024,0
401,경북,C,4459,2015,0
343,울산,A,90481,2022,0
662,전북,B,21640,2015,0
700,대구,A,60936,2008,0
2389,경남,B,20919,2020,0
250,경북,A,79651,2016,0
697,부산,B,39179,2001,0
469,강원,B,62062,2009,0
485,충북,B,32855,2005,0
907,인천,C,19174,2011,0
451,광주,C,12357,2005,0
1283,부산,C,48848,2004,0
2367,강원,B,39885,2000,0
374,대구,C,76163,2001,0
329,울산,A,2427,2002,0
773,울산,A,90013,2003,0
195,서울,A,113,2001,0
1243,대구,B,57617,2001,0
653,경기,C,14684,2016,0
2164,부산,B,28634,2002,0
338,충남,B,4018,2013,0
1979,충남,C,94914,2020,0
813,대전,C,33688,2023,0
820,서울,A,23994,2001,0
1207,부산,A,18075,2011,0
99,전북,C,33873,2012,0
2201,경북,A,50014,2018,0
2159,전남,B,30980,2004,0
1947,전북,A,60825,2014,0
705,충남,C,40173,2017,0
1299,충북,A,76778,2020,0
70,광주,A,15089,2021,0
1479,울산,C,18324,2011,0
1783,경남,A,52551,2005,0
243,강원,B,14257,2013,0
2032,전북,C,84578,2019,0
125,전남,C,1539,2011,0
498,충북,C,32116,2011,0
1834,대구,A,17654,2018,0
1387,대전,A,24001,2020,0
1144,전남,B,77486,2001,0
102,경북,C,95320,2003,0
1330,충남,C,28821,2005,0
2202,전남,B,8347,2004,0
1508,경남,B,5314,2005,0
1682,광주,A,25096,2005,0
563,경기,C,15811,2015,0
612,전남,B,2764,2000,0
660,경기,B,54320,2011,0
1752,경북,A,44332,2005,0
359,광주,B,83105,2014,0
167,인천,C,13795,2001,0
838,부산,C,84179,2003,0
1833,충북,A,29093,2007,0
1328,서울,C,20355,2019,1
1103,부산,C,91680,2014,0
1248,경북,C,1052,2024,1
398,서울,C,12856,2016,0
550,광주,B,32973,2019,0
1210,경기,C,91457,2001,0
127,전남,B,41521,2022,0
27,경기,B,34149,2022,1
490,서울,C,27519,2016,0
508,대구,B,70294,2000,0
123,전북,B,42292,2001,1
2377,인천,A,80429,2019,0
63,강원,A,85732,2015,0
1454,광주,C,44037,2008,0
1365,부산,B,42947,2024,0
957,서울,B,87955,2023,0
1054,경남,A,36684,2001,0
1546,충북,A,39532,2011,0
627,울산,B,2383,2013,0
981,서울,B,90222,2023,0
1241,대전,A,41831,2018,1
406,울산,A,43428,2006,0
1524,충북,A,36967,2011,0
1777,광주,C,65781,2011,0
1111,부산,B,9019,2011,0
800,울산,B,63345,2002,0
1938,충남,A,81846,2018,0
1974,울산,C,85887,2008,0
1483,충남,A,10284,2006,0
1122,광주,A,20863,2022,2
1007,서울,C,45067,2007,0
429,서울,B,7297,2021,0
1889,인천,A,7190,2009,0
1046,대전,B,31380,2004,0
1124,전북,C,53773,2003,0
1913,서울,B,78534,2000,0
621,대구,A,37549,2000,0
504,전북,B,41606,2019,0
1865,경기,C,5198,2000,0
1954,충북,B,15961,2009,0
2222,경북,B,91322,2006,0
842,전남,A,5742,2001,0
1192,울산,A,74796,2017,0
100,경기,C,10729,2002,0
1084,전남,B,67232,2008,0
2099,인천,B,35933,2019,0
704,전남,B,64552,2020,0
2026,강원,C,55735,2018,0
513,경북,B,96672,2014,0
2207,전남,A,26141,2022,0
2304,전북,B,14309,2016,0
85,경기,B,27129,2013,0
667,충남,C,32173,2017,0
1350,전북,C,25465,2015,0
807,충남,C,14335,2016,0
1378,강원,B,34485,2012,0
2031,대구,A,60198,2001,0
1263,경기,C,99556,2022,0
1562,충남,C,3723,2016,0
1177,충남,C,79415,2021,0
1053,부산,A,65983,2023,0
546,광주,B,43938,2001,0
1838,부산,C,86484,2019,0
873,전남,C,29878,2004,0
1923,울산,C,6639,2023,0
2187,강원,A,9928,2011,1
51,울산,C,60958,2009,1
274,광주,A,81731,2022,0
141,부산,B,71570,2024,0
109,울산,A,91119,2015,0
811,전남,A,32934,2012,0
2379,충남,C,9944,2011,0
312,서울,C,2094,2006,0
1580,대전,A,20436,2020,0
953,울산,A,35904,2011,0
240,강원,C,25918,2022,0
577,충북,C,30699,2001,0
138,인천,C,50720,2006,0
1476,대전,C,89425,2006,0
344,경남,B,43765,2017,0
816,전남,A,65207,2020,0
829,경남,C,75325,2001,1
1067,서울,B,35304,2011,2
1864,부산,C,62009,2020,0
196,대구,A,87052,2021,0
2071,충북,B,38368,2008,0
1082,광주,B,46152,2022,0
1039,경기,B,87439,2012,0
1759,울산,C,4676,2001,0
229,충북,A,80703,2018,2
1604,부산,A,77854,2016,2
1198,경북,A,36640,2008,0
425,충남,B,92248,2008,0
333,인천,B,66396,2002,0
927,서울,C,82896,2007,0
932,전남,B,59547,2008,0
1291,부산,B,88536,2019,2
348,울산,A,54319,2017,0
2010,서울,C,52976,2017,1
894,서울,B,72763,2011,1
810,광주,A,6645,2000,0
568,서울,A,193,2016,0
2359,경북,A,25426,2002,0
840,경북,B,87960,2015,0
511,서울,B,70270,2016,0
1194,서울,B,46923,2002,0
626,광주,B,90102,2015,0
1027,경북,A,25567,2007,0
2216,전북,C,90386,2004,0
461,대구,C,26490,2023,0
1967,경기,C,14390,2006,1
689,충북,C,45914,2007,0
755,울산,A,29064,2011,0
904,인천,A,19405,2002,0
1647,울산,C,73915,2023,0
355,경기,C,73789,2022,0
1762,대전,A,76217,2014,0
373,인천,C,14925,2024,0
376,서울,A,97089,2021,0
2024,경북,A,54479,2016,0
638,대구,B,79931,2002,0
440,서울,B,25501,2000,0
640,대구,C,22011,2010,0
1690,충북,B,94284,2004,2
404,인천,C,83962,2003,0
1603,울산,B,46807,2005,0
1388,서울,C,14012,2023,0
1602,경북,A,46336,2012,0
1346,인천,C,25902,2024,2
2049,경기,B,88423,2003,0
73,전북,C,10015,2008,0
211,부산,C,81939,2011,0
1821,인천,C,67614,2005,0
1751,충남,C,60381,2000,0
948,경북,B,31086,2021,0
1537,광주,C,37035,2006,0
2,전남,A,30909,2002,0
631,경북,A,33403,2022,0
79,인천,A,78078,2010,0
967,충남,A,2776,2011,0
336,인천,B,91177,2002,0
1766,대구,A,26207,2002,0
154,울산,C,88792,2016,0
1227,충북,B,65728,2016,0
36,강원,C,90454,2022,0
2007,광주,C,2036,2019,0
1028,경북,A,73194,2011,0
1729,인천,A,692,2012,1
921,광주,A,39351,2001,0
2308,광주,A,75243,2006,0
815,인천,C,17376,2011,0
1667,부산,C,32007,2024,0
97,경기,A,2611,2019,0
1232,전남,C,13683,2001,0
2167,서울,C,81385,2024,0
260,인천,B,94427,2019,0
585,서울,C,33273,2018,0
1513,전남,A,45227,2024,0
372,서울,C,43327,2013,1
30,서울,B,85077,2010,0
136,전북,B,44815,2015,0
707,인천,B,10626,2007,0
2095,부산,A,78544,2005,2
591,경북,B,72310,2011,1
1270,대전,A,55022,2011,0
1514,경북,A,59551,2000,0
665,전남,B,34661,2016,0
454,서울,C,77244,2022,0
1789,전남,C,89313,2020,0
1997,인천,A,6829,2023,0
301,서울,B,41244,2012,0
509,전남,B,78582,2021,0
1851,강원,C,90634,2012,0
133,강원,C,53313,2020,0
2098,전남,B,35316,2017,0
1712,울산,C,80153,2000,0
561,대구,B,58693,2021,0
982,광주,C,25480,2005,0
1362,경북,B,45928,2017,0
1062,전북,C,11152,2021,0
1721,경기,C,20324,2015,0
888,경남,B,86670,2002,0
245,울산,C,28231,2018,0
1932,경남,C,67790,2023,0
1105,충남,B,93066,2003,0
1312,경기,A,61900,2009,1
1469,충남,B,7567,2014,0
1317,충북,C,79535,2000,1
1658,울산,A,42317,2007,0
1528,울산,C,75210,2009,2
1073,서울,A,37843,2004,0
1741,경북,A,41348,2018,0
2333,인천,B,28092,2022,0
729,전북,A,12227,2017,0
1463,부산,B,5369,2000,0
792,전북,B,92618,2013,0
1292,대구,C,76525,2019,0
364,강원,A,58672,2007,0
776,전남,A,28902,2021,1
356,서울,C,27587,2007,0
1098,대구,B,72392,2009,0
436,부산,A,67174,2017,0
579,경북,B,47898,2012,0
2218,전남,B,58503,2000,0
685,경기,A,76503,2005,0
269,경북,A,94804,2003,0
2232,광주,C,27844,2014,0
1806,서울,A,46251,2015,0
2015,경북,B,56397,2001,1
805,강원,B,25526,2013,0
2362,서울,A,97650,2008,1
1653,서울,A,25007,2009,0
1497,전북,C,29135,2006,1
1489,경기,C,50226,2013,0
1699,전남,B,69519,2017,0
1897,대전,C,61588,2020,0
1443,전남,A,75505,2018,0
381,대구,A,33459,2013,0
892,경남,C,12193,2013,0
990,광주,A,82957,2024,0
1946,전북,C,9727,2000,0
2324,부산,C,79855,2004,1
681,경북,C,34694,2004,0
1189,광주,B,35465,2002,0
859,경북,C,94091,2005,0
287,서울,A,74817,2013,0
2296,대전,B,65525,2002,0
2170,강원,C,34070,2005,0
2371,경남,C,94243,2022,0
227,경북,B,89117,2019,0
551,울산,A,10800,2020,0
1237,광주,A,23667,2014,0
1034,울산,A,33456,2010,0
2353,충북,A,92589,2002,0
2342,충남,B,80864,2015,0
35,전북,A,38579,2017,0
22,경기,B,49977,2020,0
1775,전북,B,89390,2001,0
464,광주,A,71833,2012,2
1621,경남,B,25934,2022,1
1972,경북,B,34755,2014,0
1510,강원,A,28808,2003,0
826,대구,B,96394,2022,2
2181,전북,A,49594,2017,0
971,서울,C,19540,2016,0
1228,경기,C,90611,2008,0
1470,광주,A,12307,2006,0
1970,충북,B,93716,2004,0
2129,인천,B,45876,2002,0
821,경남,A,44387,2009,0
1175,울산,C,47765,2009,0
88,경기,B,87600,2002,0
112,경북,A,32935,2022,0
1325,경남,B,6512,2016,0
219,광주,A,46164,2009,0
1426,서울,B,83949,2012,0
151,충북,A,37565,2012,0
1677,인천,B,61693,2010,0
1246,경북,C,80056,2016,0
34,전남,C,57728,2010,0
1631,경남,C,27527,2008,1
2177,대구,C,28927,2001,0
1872,경기,C,67709,2016,0
1019,부산,B,23907,2019,2
1256,경남,A,51258,2002,0
1148,서울,C,77274,2006,0
991,광주,B,16352,2019,0
177,서울,B,27799,2013,0
