level_0,ID,Marital Status,Application mode,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Educational special needs,Gender,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Target
36,2135,1_,39_,9254_,1_,1_,1_,19_,1_,4_,1_,0_,0_,0,6,6,0,Dropout
37,3624,1_,1_,9147_,1_,1_,1_,3_,19_,2_,4_,0_,0_,0,5,9,3,Graduate
38,2721,1_,17_,9147_,1_,1_,1_,2_,3_,2_,2_,0_,0_,0,5,10,3,Enrolled
39,2765,1_,16_,9500_,1_,1_,1_,1_,1_,4_,4_,0_,0_,0,8,8,8,Graduate
40,196,1_,18_,9500_,1_,1_,1_,37_,37_,5_,5_,0_,0_,0,8,8,8,Graduate
41,2387,1_,1_,171_,1_,1_,1_,1_,38_,5_,7_,0_,1_,0,0,0,0,Graduate
42,573,1_,1_,9147_,1_,1_,1_,3_,19_,4_,5_,0_,1_,0,5,14,3,Enrolled
43,329,1_,1_,9085_,1_,1_,1_,19_,38_,9_,5_,0_,0_,0,5,11,5,Enrolled
44,921,1_,39_,8014_,0_,1_,1_,37_,37_,9_,9_,0_,0_,0,6,8,6,Graduate
45,2345,1_,53_,9085_,1_,42_,1_,1_,19_,3_,8_,0_,1_,7,11,15,9,Graduate
46,1016,1_,17_,9147_,1_,1_,1_,37_,1_,9_,9_,0_,0_,0,5,5,4,Dropout
47,3860,1_,39_,9003_,1_,19_,1_,37_,19_,9_,7_,0_,1_,0,6,15,1,Dropout
48,3683,1_,18_,171_,1_,1_,1_,19_,2_,5_,5_,0_,1_,0,0,0,0,Graduate
49,2726,1_,44_,9085_,1_,39_,1_,19_,19_,9_,9_,0_,0_,1,6,14,5,Graduate
50,4241,1_,1_,9500_,1_,1_,1_,37_,37_,9_,9_,0_,0_,0,8,8,7,Dropout
51,44,1_,39_,9991_,0_,1_,1_,37_,37_,9_,9_,0_,0_,0,5,0,0,Dropout
52,2215,1_,1_,9773_,1_,1_,1_,3_,1_,2_,4_,0_,1_,0,6,9,5,Enrolled
53,3153,1_,1_,171_,1_,1_,1_,3_,3_,2_,2_,0_,0_,6,12,12,12,Graduate
54,1169,1_,1_,9670_,1_,1_,1_,19_,37_,5_,7_,0_,1_,0,5,7,4,Graduate
55,1578,1_,1_,9085_,1_,1_,1_,37_,19_,9_,8_,0_,0_,0,5,7,3,Dropout
56,1213,1_,1_,9670_,1_,1_,1_,37_,37_,0_,0_,0_,0_,0,5,8,3,Graduate
57,678,2_,39_,9773_,1_,19_,1_,37_,37_,0_,0_,0_,1_,0,6,7,1,Dropout
58,913,4_,39_,8014_,0_,1_,1_,37_,37_,9_,7_,0_,0_,0,6,8,5,Graduate
59,2575,2_,39_,8014_,0_,1_,1_,37_,37_,7_,5_,0_,0_,5,9,9,9,Graduate
60,3075,1_,1_,9670_,1_,1_,1_,4_,2_,123_,112_,0_,1_,0,6,8,5,Enrolled
61,3183,1_,39_,9119_,1_,1_,1_,37_,3_,9_,3_,0_,1_,0,5,11,4,Enrolled
62,1550,2_,43_,8014_,0_,1_,1_,34_,34_,0_,0_,0_,0_,11,16,16,16,Graduate
63,2942,1_,1_,171_,1_,1_,1_,40_,1_,2_,4_,0_,0_,6,12,12,12,Graduate
64,2926,1_,44_,8014_,0_,39_,1_,1_,3_,4_,6_,0_,0_,3,6,6,6,Graduate
65,3127,1_,18_,9147_,1_,1_,1_,19_,19_,9_,5_,0_,0_,0,5,8,5,Graduate
66,349,1_,1_,8014_,0_,1_,1_,3_,1_,3_,9_,0_,0_,0,6,10,5,Enrolled
67,4363,1_,17_,9853_,1_,1_,1_,34_,34_,0_,0_,0_,0_,0,6,10,2,Dropout
68,2816,1_,1_,9500_,1_,1_,1_,19_,19_,9_,6_,0_,0_,0,7,7,6,Graduate
69,3125,1_,43_,9238_,1_,1_,1_,34_,34_,0_,0_,0_,0_,9,16,19,15,Graduate
70,1144,1_,16_,9147_,1_,1_,1_,37_,37_,9_,9_,0_,0_,0,5,8,3,Enrolled
71,2874,2_,39_,9991_,0_,12_,1_,37_,34_,90_,90_,0_,0_,0,5,0,0,Dropout
72,3065,1_,17_,9254_,1_,1_,1_,19_,19_,9_,7_,0_,0_,0,6,0,0,Dropout
73,4316,1_,1_,9070_,1_,1_,1_,43_,3_,123_,123_,0_,1_,0,6,6,6,Graduate
74,1995,1_,1_,9238_,1_,1_,1_,30_,19_,0_,2_,0_,0_,0,6,8,6,Graduate
75,4191,1_,44_,9085_,1_,39_,1_,1_,39_,3_,9_,0_,0_,1,6,9,6,Enrolled
76,544,1_,17_,9119_,1_,1_,1_,19_,1_,9_,10_,0_,1_,0,5,6,5,Enrolled
77,2875,1_,51_,9147_,1_,1_,1_,1_,37_,9_,10_,0_,0_,14,15,15,15,Enrolled
78,123,1_,1_,9670_,1_,1_,1_,38_,38_,9_,9_,0_,0_,0,5,5,5,Graduate
79,2430,1_,1_,9773_,1_,1_,1_,38_,38_,6_,3_,0_,1_,0,6,12,4,Graduate
80,1089,1_,43_,171_,1_,1_,1_,19_,19_,5_,7_,0_,0_,0,0,0,0,Enrolled
81,2166,1_,17_,9500_,1_,1_,1_,38_,37_,5_,9_,0_,0_,0,8,8,7,Graduate
82,2973,1_,16_,9147_,1_,1_,1_,37_,37_,9_,9_,0_,0_,0,5,8,4,Graduate
83,1604,1_,39_,9003_,1_,19_,1_,1_,19_,9_,8_,0_,1_,0,6,11,2,Dropout
84,3677,1_,1_,9773_,1_,1_,1_,19_,38_,5_,0_,0_,0_,0,6,11,1,Dropout
85,3408,1_,1_,9500_,1_,1_,1_,1_,1_,4_,5_,0_,0_,0,8,8,0,Dropout
86,2740,1_,1_,9070_,1_,1_,1_,19_,38_,9_,9_,0_,0_,0,6,6,6,Graduate
87,2204,1_,5_,9070_,1_,1_,1_,1_,1_,4_,10_,0_,1_,0,6,7,5,Graduate
88,3456,1_,7_,9238_,1_,3_,1_,37_,37_,9_,9_,0_,0_,10,14,21,13,Graduate
89,2229,1_,1_,9070_,1_,1_,1_,1_,1_,3_,9_,0_,1_,0,6,6,6,Graduate
90,2677,1_,43_,9991_,0_,1_,1_,37_,37_,9_,9_,0_,1_,1,5,6,5,Graduate
91,1653,1_,1_,9556_,1_,1_,1_,19_,19_,3_,10_,0_,0_,0,7,7,7,Graduate
92,2837,2_,39_,9147_,1_,1_,1_,37_,37_,9_,8_,0_,0_,0,5,12,3,Enrolled
93,4205,1_,1_,9500_,1_,1_,1_,1_,37_,4_,9_,0_,0_,0,7,7,6,Graduate
94,324,1_,5_,9085_,1_,1_,1_,1_,19_,7_,5_,0_,0_,0,5,9,3,Enrolled
95,2830,1_,17_,9147_,1_,1_,1_,19_,38_,3_,10_,0_,0_,0,5,8,5,Graduate
96,107,1_,1_,9085_,1_,1_,1_,1_,1_,4_,4_,0_,0_,0,6,15,4,Dropout
97,1610,1_,1_,9147_,1_,1_,1_,1_,38_,4_,7_,0_,1_,0,5,10,3,Dropout
98,657,1_,51_,8014_,0_,1_,1_,1_,38_,5_,7_,0_,0_,14,16,16,13,Graduate
99,3969,1_,44_,9991_,0_,39_,1_,37_,37_,9_,9_,0_,0_,0,5,5,5,Graduate
100,3474,1_,1_,9119_,1_,1_,1_,38_,19_,5_,3_,0_,0_,0,5,11,0,Dropout
101,4083,1_,7_,9991_,0_,3_,1_,3_,19_,2_,3_,0_,0_,0,5,7,5,Graduate
102,2523,1_,17_,9853_,1_,1_,1_,19_,1_,5_,5_,0_,0_,0,6,0,0,Dropout
103,1780,1_,1_,9670_,1_,1_,1_,1_,37_,9_,10_,0_,1_,0,6,6,5,Enrolled
104,2819,1_,43_,9773_,1_,1_,1_,19_,1_,5_,5_,0_,0_,0,6,6,0,Enrolled
105,700,1_,44_,9085_,1_,39_,1_,2_,2_,6_,6_,0_,1_,2,6,10,5,Enrolled
106,1962,1_,1_,9670_,1_,1_,1_,1_,1_,5_,4_,0_,0_,0,6,9,5,Graduate
107,1377,1_,1_,171_,1_,1_,1_,37_,19_,7_,7_,0_,1_,0,0,0,0,Graduate
108,2388,1_,17_,9147_,1_,1_,1_,38_,19_,5_,5_,0_,1_,0,5,8,4,Dropout
109,1977,1_,44_,9238_,1_,39_,1_,1_,19_,191_,102_,0_,0_,3,6,6,6,Graduate
110,1723,1_,1_,9773_,1_,1_,1_,2_,1_,9_,9_,1_,0_,0,6,9,6,Graduate
111,2282,1_,1_,9254_,1_,1_,1_,38_,1_,9_,9_,0_,1_,0,6,9,5,Dropout
112,2515,1_,17_,9119_,1_,1_,62_,1_,1_,191_,171_,0_,1_,0,5,10,4,Enrolled
113,4304,1_,1_,9147_,1_,1_,1_,19_,1_,7_,5_,0_,1_,0,5,6,4,Dropout
114,2963,2_,1_,9991_,0_,3_,1_,1_,3_,4_,9_,0_,0_,0,5,5,5,Graduate
115,3509,1_,44_,9070_,1_,39_,1_,1_,1_,9_,9_,0_,1_,2,7,7,7,Graduate
116,804,1_,1_,9853_,1_,1_,1_,1_,3_,5_,3_,0_,0_,0,7,7,7,Graduate
117,4036,1_,39_,9670_,1_,1_,1_,1_,19_,4_,10_,0_,0_,0,6,6,6,Graduate
118,1064,1_,1_,9853_,1_,1_,1_,19_,1_,5_,10_,0_,0_,0,6,9,5,Enrolled
119,4184,1_,1_,9238_,1_,1_,1_,38_,38_,0_,7_,0_,0_,0,6,8,5,Graduate
120,3837,1_,17_,9147_,1_,1_,1_,3_,38_,1_,9_,0_,1_,0,5,13,4,Dropout
121,2017,1_,1_,9500_,1_,1_,1_,38_,1_,9_,10_,0_,0_,0,7,7,7,Graduate
122,2941,2_,39_,9556_,1_,1_,105_,1_,3_,9_,2_,0_,0_,0,7,9,7,Enrolled
123,636,1_,1_,9500_,1_,1_,1_,37_,37_,9_,9_,0_,0_,0,8,12,7,Graduate
124,840,1_,1_,9147_,1_,1_,41_,3_,3_,9_,9_,0_,0_,0,5,14,0,Dropout
125,3249,1_,1_,9070_,1_,1_,1_,38_,37_,5_,5_,0_,0_,0,6,6,6,Graduate
126,2043,1_,1_,9254_,1_,1_,1_,1_,19_,9_,9_,0_,0_,0,6,6,6,Graduate
127,2320,4_,39_,9238_,1_,1_,1_,19_,3_,9_,2_,0_,1_,0,6,7,4,Dropout
128,2161,1_,17_,9670_,1_,1_,1_,34_,37_,0_,0_,0_,0_,0,5,8,3,Dropout
129,3878,1_,43_,9500_,1_,6_,1_,38_,37_,5_,9_,0_,0_,0,7,7,6,Graduate
130,1176,1_,16_,9238_,1_,1_,1_,37_,37_,5_,6_,0_,0_,0,6,8,6,Graduate
131,3113,1_,1_,9670_,1_,1_,1_,3_,38_,2_,9_,0_,0_,0,6,7,5,Enrolled
132,3229,1_,1_,9500_,1_,1_,1_,38_,38_,5_,5_,0_,0_,0,7,9,6,Graduate
133,2555,1_,1_,9119_,1_,1_,1_,19_,37_,5_,8_,0_,1_,0,5,9,4,Enrolled
134,4124,1_,1_,9085_,1_,1_,1_,37_,19_,9_,5_,0_,0_,0,5,10,2,Enrolled
135,2943,1_,39_,9003_,1_,1_,1_,19_,19_,9_,1_,0_,0_,6,12,13,6,Graduate
136,589,1_,1_,9556_,1_,1_,1_,37_,1_,5_,4_,0_,0_,0,7,9,7,Graduate
137,2583,1_,39_,9991_,0_,1_,1_,19_,37_,9_,8_,0_,0_,0,5,10,4,Enrolled
138,3316,1_,7_,9119_,1_,3_,1_,19_,19_,1_,1_,0_,1_,1,5,7,1,Dropout
139,21,1_,18_,9556_,1_,1_,1_,1_,38_,4_,7_,0_,0_,0,7,14,7,Enrolled
140,2119,1_,17_,171_,1_,1_,1_,1_,1_,6_,7_,0_,0_,0,0,0,0,Enrolled
141,518,4_,39_,8014_,0_,19_,1_,34_,34_,0_,0_,0_,0_,0,6,11,1,Dropout
142,2275,1_,1_,9991_,0_,1_,1_,1_,3_,4_,2_,0_,1_,0,5,7,3,Dropout
143,4116,1_,1_,9085_,1_,1_,1_,38_,37_,3_,9_,0_,0_,0,6,7,6,Enrolled
144,891,1_,39_,171_,1_,1_,1_,37_,38_,175_,193_,0_,0_,0,0,0,0,Dropout
145,366,1_,1_,9500_,1_,1_,1_,19_,38_,4_,8_,0_,0_,0,7,7,6,Graduate
146,2443,2_,39_,9003_,1_,3_,1_,3_,19_,4_,6_,0_,1_,0,6,8,6,Graduate
147,3291,1_,39_,9003_,1_,1_,1_,37_,37_,9_,7_,0_,1_,0,6,17,1,Dropout
148,3276,1_,51_,33_,1_,1_,1_,19_,19_,9_,9_,0_,0_,10,12,12,10,Dropout
149,2374,1_,39_,9130_,1_,1_,1_,19_,19_,9_,5_,0_,1_,0,5,13,4,Enrolled
150,3283,1_,1_,9254_,1_,1_,1_,38_,36_,9_,9_,0_,0_,0,6,7,6,Graduate
151,2651,1_,7_,9003_,1_,3_,1_,3_,19_,2_,10_,0_,1_,0,6,10,5,Dropout
152,3100,1_,1_,9500_,1_,1_,1_,38_,19_,3_,10_,0_,0_,0,7,10,7,Graduate
153,1697,1_,39_,9085_,1_,1_,1_,34_,1_,0_,2_,0_,1_,0,5,5,0,Dropout
154,3535,1_,51_,9991_,0_,39_,1_,1_,4_,4_,10_,0_,1_,13,15,17,13,Dropout
155,2902,2_,39_,9556_,1_,1_,6_,38_,38_,9_,9_,0_,0_,0,7,10,7,Graduate
156,4356,1_,39_,9085_,1_,19_,1_,37_,37_,4_,8_,0_,0_,0,6,11,3,Dropout
157,3245,1_,43_,9773_,1_,1_,1_,1_,1_,4_,8_,0_,0_,0,6,7,6,Dropout
158,280,1_,16_,9147_,1_,1_,1_,38_,37_,9_,9_,0_,0_,0,5,8,4,Graduate
159,2183,1_,42_,9853_,1_,1_,1_,37_,19_,9_,3_,0_,0_,6,14,22,12,Dropout
160,1433,1_,16_,9070_,1_,1_,1_,1_,38_,4_,8_,0_,0_,0,6,6,6,Graduate
161,1128,1_,1_,9147_,1_,1_,1_,37_,37_,9_,6_,0_,0_,0,5,5,5,Graduate
162,1225,1_,17_,9238_,1_,1_,1_,38_,38_,7_,7_,0_,0_,0,6,7,6,Graduate
163,3147,1_,1_,9500_,1_,1_,1_,1_,1_,3_,4_,0_,0_,0,7,9,5,Enrolled
164,359,1_,39_,9085_,1_,43_,1_,3_,39_,2_,3_,0_,0_,0,6,0,0,Dropout
165,662,1_,17_,9773_,1_,1_,1_,1_,19_,4_,1_,0_,0_,0,6,7,6,Graduate
166,870,1_,1_,9254_,1_,1_,1_,1_,1_,191_,193_,0_,1_,0,6,8,6,Graduate
167,1724,1_,1_,171_,1_,1_,1_,19_,19_,3_,10_,0_,0_,13,17,20,17,Graduate
168,794,1_,1_,9773_,1_,1_,1_,19_,19_,3_,3_,0_,0_,0,6,6,6,Graduate
169,4325,2_,7_,8014_,0_,3_,1_,19_,38_,3_,7_,0_,0_,8,14,18,13,Graduate
170,2489,1_,1_,9254_,1_,1_,1_,1_,38_,2_,8_,0_,1_,0,6,7,6,Graduate
171,4114,1_,17_,9773_,1_,1_,1_,2_,1_,2_,7_,0_,0_,0,6,6,6,Graduate
172,3015,1_,1_,9500_,1_,1_,1_,38_,1_,5_,6_,0_,0_,0,7,9,7,Graduate
173,4294,1_,39_,9003_,1_,1_,1_,38_,37_,7_,7_,0_,1_,12,18,25,18,Graduate
174,3709,1_,17_,9670_,1_,1_,1_,1_,19_,5_,3_,0_,1_,0,5,7,3,Dropout
175,1159,1_,1_,9147_,1_,1_,1_,19_,19_,3_,9_,0_,0_,0,5,7,5,Graduate
176,200,1_,1_,9085_,1_,1_,1_,1_,1_,4_,7_,0_,0_,0,5,9,4,Graduate
177,1650,1_,1_,9500_,1_,1_,1_,3_,1_,9_,9_,0_,0_,0,8,8,7,Enrolled
178,3639,1_,1_,9670_,1_,1_,1_,1_,19_,4_,4_,0_,0_,0,6,8,6,Graduate
179,4358,1_,43_,9254_,1_,1_,1_,37_,37_,9_,9_,0_,0_,0,6,13,2,Dropout
180,4006,1_,44_,9003_,1_,39_,1_,37_,37_,9_,9_,0_,1_,0,6,8,6,Graduate
181,1163,4_,39_,8014_,0_,1_,1_,37_,37_,3_,4_,0_,0_,0,6,9,6,Graduate
182,94,2_,39_,8014_,0_,1_,1_,37_,19_,9_,9_,0_,0_,2,8,11,8,Graduate
183,3135,1_,1_,171_,1_,1_,1_,1_,40_,4_,3_,0_,0_,0,0,0,0,Graduate
184,2550,1_,43_,8014_,0_,1_,22_,37_,37_,9_,9_,0_,0_,8,16,16,15,Graduate
185,3656,1_,1_,9085_,1_,1_,1_,1_,19_,4_,10_,0_,0_,0,5,10,3,Graduate
186,4199,1_,1_,9500_,1_,1_,1_,38_,38_,5_,5_,0_,0_,0,8,8,7,Graduate
187,671,1_,42_,8014_,0_,1_,1_,37_,38_,90_,7_,0_,0_,9,11,19,9,Dropout
188,17,1_,17_,9500_,1_,1_,1_,19_,1_,5_,4_,0_,0_,0,7,8,7,Graduate
189,2933,1_,1_,9500_,1_,1_,1_,19_,19_,9_,9_,0_,0_,0,8,12,7,Graduate
190,3848,1_,39_,9003_,1_,1_,1_,37_,37_,6_,6_,0_,1_,4,10,19,8,Dropout
191,3054,1_,17_,9238_,1_,1_,1_,38_,38_,9_,6_,0_,0_,0,6,8,6,Graduate
192,4097,1_,43_,9991_,0_,3_,1_,37_,37_,9_,9_,0_,0_,7,14,21,12,Graduate
193,4416,1_,43_,9500_,1_,1_,1_,38_,38_,9_,5_,0_,0_,11,14,15,12,Graduate
194,3732,1_,1_,171_,1_,1_,1_,4_,3_,1_,1_,0_,1_,0,0,0,0,Graduate
195,1772,1_,1_,9773_,1_,1_,1_,1_,1_,9_,9_,0_,0_,0,6,7,6,Graduate
196,1264,1_,18_,9500_,1_,1_,1_,38_,37_,9_,5_,0_,0_,0,8,8,7,Graduate
197,3446,1_,16_,9085_,1_,1_,1_,3_,3_,2_,1_,0_,0_,0,6,7,6,Dropout
198,3758,1_,44_,9085_,1_,1_,1_,1_,1_,4_,3_,0_,0_,0,6,13,5,Enrolled
199,566,1_,39_,9003_,1_,19_,1_,4_,1_,2_,4_,0_,1_,0,3,4,0,Dropout
200,3989,1_,43_,9238_,1_,1_,1_,38_,19_,9_,4_,0_,0_,15,16,16,13,Graduate
201,1891,1_,1_,9500_,1_,1_,1_,38_,37_,7_,7_,0_,0_,0,8,8,8,Graduate
202,3586,1_,7_,171_,1_,3_,1_,1_,2_,9_,2_,0_,1_,0,0,0,0,Dropout
203,4043,1_,17_,9500_,1_,1_,1_,2_,38_,3_,8_,0_,0_,0,8,12,7,Enrolled
204,4322,1_,1_,9773_,1_,1_,17_,1_,1_,3_,5_,0_,0_,0,6,8,5,Dropout
205,4212,1_,17_,9773_,1_,1_,1_,1_,1_,4_,8_,0_,0_,0,6,6,6,Graduate
206,98,1_,1_,9085_,1_,1_,1_,1_,2_,9_,1_,0_,0_,0,5,7,5,Enrolled
207,4194,1_,1_,9147_,1_,1_,1_,38_,38_,9_,9_,0_,0_,0,5,12,2,Dropout
208,1828,1_,7_,9500_,1_,3_,1_,37_,37_,4_,5_,0_,0_,0,7,7,0,Dropout
209,301,1_,1_,9085_,1_,1_,1_,38_,37_,9_,9_,0_,0_,0,5,7,4,Graduate
210,4138,1_,17_,9853_,1_,1_,1_,37_,37_,5_,0_,0_,0_,0,6,11,3,Dropout
211,1351,1_,1_,9500_,1_,1_,1_,19_,19_,9_,9_,0_,0_,0,8,8,7,Graduate
212,4213,1_,1_,9238_,1_,1_,1_,19_,37_,9_,9_,0_,0_,0,6,10,5,Graduate
213,3755,1_,18_,9500_,1_,1_,1_,3_,1_,3_,4_,0_,0_,0,7,8,7,Dropout
214,2334,1_,1_,9670_,1_,1_,1_,38_,37_,9_,9_,0_,1_,0,6,7,6,Graduate
215,2998,1_,1_,9130_,1_,1_,1_,3_,19_,4_,8_,0_,0_,0,6,6,6,Graduate
216,1684,1_,17_,9070_,1_,1_,1_,37_,37_,5_,5_,0_,1_,0,6,6,6,Graduate
217,343,1_,39_,9003_,1_,3_,1_,3_,3_,1_,2_,0_,0_,0,6,10,6,Graduate
218,1296,1_,39_,9670_,1_,1_,1_,34_,34_,0_,0_,0_,1_,0,5,5,0,Dropout
219,2068,1_,18_,9853_,1_,1_,1_,19_,38_,4_,10_,0_,0_,0,6,8,5,Enrolled
220,1560,1_,15_,33_,1_,1_,41_,2_,3_,2_,4_,0_,1_,0,7,10,7,Enrolled
221,1702,1_,17_,9773_,1_,1_,1_,34_,34_,0_,0_,0_,1_,0,6,0,0,Dropout
222,3544,1_,39_,9991_,0_,12_,1_,37_,37_,9_,9_,0_,1_,0,5,11,2,Enrolled
223,190,1_,1_,9254_,1_,1_,1_,19_,38_,9_,8_,0_,0_,0,6,7,6,Graduate
224,534,1_,44_,171_,1_,39_,1_,4_,4_,2_,2_,0_,1_,0,0,0,0,Graduate
225,108,1_,1_,9500_,1_,1_,1_,3_,4_,4_,3_,0_,0_,2,7,9,6,Dropout
226,115,1_,43_,9500_,1_,1_,1_,38_,38_,9_,5_,0_,0_,0,7,11,6,Enrolled
227,3558,1_,1_,9070_,1_,1_,1_,4_,19_,2_,10_,0_,1_,0,6,7,6,Enrolled
228,3027,1_,1_,9773_,1_,1_,1_,41_,1_,4_,3_,0_,0_,0,6,6,4,Dropout
229,724,1_,7_,9130_,1_,3_,1_,37_,26_,90_,10_,0_,1_,0,5,9,0,Dropout
230,2488,1_,17_,9147_,1_,1_,1_,19_,38_,5_,6_,0_,1_,0,5,7,3,Enrolled
231,808,1_,1_,9773_,1_,1_,1_,1_,3_,4_,7_,0_,0_,0,4,4,0,Dropout
232,834,2_,39_,9119_,1_,1_,1_,37_,37_,90_,5_,0_,1_,0,5,6,0,Dropout
233,2968,1_,39_,8014_,0_,1_,1_,35_,37_,90_,90_,0_,0_,0,6,10,4,Graduate
234,1928,1_,1_,9070_,1_,1_,1_,38_,38_,9_,5_,0_,0_,0,6,7,5,Enrolled
235,1959,1_,53_,9085_,1_,42_,1_,19_,1_,9_,9_,0_,0_,7,9,9,8,Enrolled
236,2462,1_,1_,171_,1_,1_,1_,3_,3_,2_,2_,0_,1_,0,0,0,0,Dropout
237,1503,2_,39_,9500_,1_,1_,1_,37_,37_,191_,183_,0_,0_,0,7,11,5,Enrolled
238,3806,1_,1_,9070_,1_,1_,1_,34_,37_,5_,7_,0_,0_,0,6,6,6,Graduate
239,2894,1_,17_,9853_,1_,1_,1_,38_,37_,9_,9_,0_,0_,0,6,7,6,Graduate
240,932,2_,7_,9670_,1_,3_,1_,37_,37_,7_,7_,0_,0_,4,11,15,8,Graduate
241,28,1_,1_,9147_,1_,1_,1_,19_,1_,9_,9_,0_,0_,0,5,6,5,Graduate
242,3990,1_,15_,9853_,1_,1_,41_,43_,1_,153_,135_,0_,0_,11,16,17,16,Graduate
243,2323,1_,39_,9500_,1_,1_,1_,1_,37_,9_,9_,0_,1_,0,7,7,7,Enrolled
244,4107,1_,1_,9500_,1_,1_,1_,37_,19_,9_,7_,0_,0_,0,8,10,6,Dropout
245,1475,1_,17_,9130_,1_,1_,1_,19_,38_,4_,7_,0_,1_,0,5,11,4,Graduate
246,3699,1_,1_,9085_,1_,1_,1_,3_,1_,2_,5_,0_,1_,0,5,5,0,Dropout
247,1794,1_,43_,9500_,1_,1_,1_,19_,37_,173_,183_,0_,0_,0,7,12,4,Enrolled
248,3959,1_,1_,9085_,1_,1_,1_,38_,37_,4_,4_,0_,0_,0,6,8,6,Graduate
