제품보고서번호,공장명,결함유형,신고일자,신고시각,처리일자,처리시각,작업자직업명,사고발생장소
202200000033M45773,공장A,품질 문제,20221227,170446,20220626,034751,관리자,라인2
202200000034M77435,공장C,기계 결함,20220101,163443,20220111,142458,검사원,라인4
202200000035M66886,공장A,안전 문제,20220309,013254,20220703,203637,기타,라인3
202200000036M76803,공장A,품질 문제,20220520,201621,20221217,160024,관리자,라인2
202200000037M41551,공장A,전기 결함,20221206,153614,20220520,183516,기타,라인3
202200000038M21394,공장D,전기 결함,20220126,022706,20220115,082301,관리자,라인1
202200000039M79092,공장A,안전 문제,20220104,100908,20220112,071431,기타,라인5
202200000040M13890,공장E,전기 결함,20220120,131256,20220522,065805,검사원,라인5
202200000041M51606,공장C,전기 결함,20220202,013406,20220228,004622,검사원,라인3
202200000042M90038,공장C,안전 문제,20220114,201702,20220109,065616,기술자,라인5
202200000043M97313,공장A,품질 문제,20220624,095338,20221003,015840,기타,라인2
202200000044M20627,공장D,품질 문제,20220731,084810,20220616,081205,기술자,라인3
202200000045M18792,공장D,전기 결함,20220409,062359,20220416,051951,기타,라인4
202200000046M83969,공장E,전기 결함,20220525,131803,20221124,200216,관리자,라인2
202200000047M53001,공장A,품질 문제,20220203,054131,20220212,161147,관리자,라인2
202200000048M86552,공장C,안전 문제,20220503,064445,20221214,144454,기술자,라인2
202200000049M33897,공장D,전기 결함,20220710,033936,20220425,001602,기타,라인4
202200000050M78148,공장A,기계 결함,20220924,003502,20221120,143531,기술자,라인1
202200000051M33483,공장D,안전 문제,20220102,080732,20220808,031748,검사원,라인5
202200000052M58555,공장D,전기 결함,20220620,054038,20221028,184251,기술자,라인3
202200000053M27159,공장C,전기 결함,20220419,031248,20221225,023913,기술자,라인1
202200000054M90077,공장B,기계 결함,20221107,015904,20220415,001333,관리자,라인3
202200000055M45920,공장E,기계 결함,20220918,112631,20221216,220323,기술자,라인5
202200000056M77121,공장E,품질 문제,20220803,200737,20220522,180556,기타,라인4
202200000057M79479,공장C,안전 문제,20220411,074902,20220521,004839,관리자,라인2
202200000058M99475,공장D,안전 문제,20221128,214357,20220504,185200,기술자,라인2
202200000059M29457,공장A,품질 문제,20220117,022105,20220717,042615,검사원,라인4
202200000060M76557,공장D,안전 문제,20220209,012243,20220226,053912,기술자,라인1
202200000061M87189,공장C,안전 문제,20220523,013716,20220721,153418,기술자,라인1
202200000062M88953,공장E,안전 문제,20220215,023322,20220717,111558,기술자,라인3
202200000063M62995,공장D,안전 문제,20221215,190721,20221005,100924,관리자,라인4
202200000064M50757,공장E,안전 문제,20221018,115735,20221031,193003,기타,라인1
202200000065M19692,공장A,기계 결함,20220405,041228,20220610,112201,검사원,라인4
202200000066M55758,공장E,안전 문제,20220803,145654,20220421,232150,기술자,라인5
202200000067M82409,공장E,기계 결함,20221224,154129,20220405,040706,기타,라인2
202200000068M81211,공장B,안전 문제,20221118,221511,20220312,135554,기타,라인2
202200000069M75697,공장B,품질 문제,20220807,161511,20220121,024915,관리자,라인2
202200000070M47065,공장B,전기 결함,20221125,071902,20220505,221850,검사원,라인4
202200000071M42606,공장E,기계 결함,20221227,152944,20220409,175115,관리자,라인4
202200000072M21534,공장C,안전 문제,20220928,222750,20221218,075932,기타,라인3
202200000073M50397,공장E,품질 문제,20220124,075304,20220723,161152,기타,라인2
202200000074M11016,공장C,전기 결함,20220527,193955,20220507,100426,기타,라인3
202200000075M99789,공장C,기계 결함,20221101,110056,20220731,111605,관리자,라인2
202200000076M65591,공장B,전기 결함,20220325,201905,20220220,000456,검사원,라인3
202200000077M99812,공장D,품질 문제,20221030,211707,20220611,130453,기술자,라인3
202200000078M33247,공장A,기계 결함,20220213,063132,20220816,235832,관리자,라인5
202200000079M34300,공장B,전기 결함,20220118,201511,20220627,174740,기타,라인3
202200000080M84065,공장B,안전 문제,20220520,055133,20220527,182104,관리자,라인4
202200000081M92798,공장D,기계 결함,20220114,133532,20221228,012946,기타,라인3
202200000082M19268,공장A,전기 결함,20221215,224944,20221117,060332,기술자,라인2
202200000083M96807,공장E,품질 문제,20221028,014020,20220815,121953,기술자,라인3
202200000084M22185,공장E,품질 문제,20221019,012656,20220727,061422,검사원,라인1
202200000085M73704,공장B,기계 결함,20220818,080010,20220814,132218,기타,라인2
202200000086M96779,공장A,전기 결함,20220320,025122,20220315,212855,검사원,라인1
202200000087M49099,공장B,기계 결함,20220708,031754,20220524,192823,검사원,라인2
202200000088M18571,공장C,기계 결함,20220806,053421,20220115,170940,기술자,라인4
202200000089M48044,공장B,전기 결함,20220711,101421,20220623,072528,관리자,라인4
202200000090M61214,공장B,전기 결함,20220405,045141,20220717,091601,관리자,라인4
202200000091M71228,공장E,안전 문제,20220707,114648,20220324,055704,검사원,라인1
202200000092M58984,공장E,전기 결함,20220628,093717,20221217,080417,기술자,라인5
202200000093M50774,공장E,품질 문제,20221229,123429,20221128,194048,기타,라인2
202200000094M12568,공장C,기계 결함,20221123,234129,20220920,161106,관리자,라인4
202200000095M72592,공장E,기계 결함,20220618,130502,20220714,020933,검사원,라인2
202200000096M77563,공장A,품질 문제,20220815,150651,20221113,021501,관리자,라인1
202200000097M12695,공장D,전기 결함,20220930,130814,20220217,230937,관리자,라인5
202200000098M58190,공장A,품질 문제,20220113,203401,20221015,212542,기타,라인1
202200000099M15258,공장A,품질 문제,20221122,013417,20220215,223826,기술자,라인2
202200000100M97538,공장E,안전 문제,20221110,131917,20221017,143719,기타,라인5
202200000101M49504,공장D,품질 문제,20220616,092401,20220411,085319,기술자,라인5
202200000102M43159,공장D,기계 결함,20220523,213235,20221116,111819,관리자,라인1
202200000103M23986,공장D,품질 문제,20220410,130045,20221210,024601,검사원,라인4
202200000104M71858,공장C,기계 결함,20220623,155345,20220224,203321,기타,라인2
202200000105M22666,공장E,기계 결함,20220117,190234,20220618,020514,기술자,라인3
202200000106M48660,공장D,기계 결함,20221107,080524,20221224,090832,관리자,라인3
202200000107M13561,공장C,전기 결함,20220113,125233,20220625,150540,기술자,라인1
202200000108M36854,공장B,안전 문제,20220430,072033,20221111,035859,기술자,라인2
202200000109M74505,공장B,기계 결함,20221206,032414,20220803,012803,기술자,라인2
202200000110M62251,공장C,기계 결함,20220925,034459,20220517,001825,관리자,라인1
202200000111M32662,공장C,전기 결함,20220413,113131,20220415,095214,검사원,라인2
202200000112M18392,공장E,기계 결함,20220402,123013,20220315,215047,검사원,라인4
202200000113M40535,공장E,품질 문제,20220102,191728,20221005,205855,검사원,라인1
202200000114M88603,공장B,품질 문제,20220911,053128,20220521,213533,기술자,라인4
202200000115M62256,공장D,안전 문제,20220118,100159,20220706,122700,관리자,라인2
202200000116M99135,공장B,기계 결함,20220713,221830,20220629,164403,기술자,라인1
202200000117M45222,공장D,전기 결함,20221217,180418,20220730,064808,검사원,라인2
202200000118M87373,공장D,품질 문제,20220209,010924,20221112,031800,검사원,라인1
202200000119M89575,공장E,전기 결함,20221122,011049,20221223,093508,관리자,라인2
202200000120M94651,공장A,전기 결함,20221227,231408,20220529,124541,기술자,라인4
202200000121M73335,공장A,품질 문제,20220123,221808,20221029,054737,기타,라인4
202200000122M20965,공장C,전기 결함,20221118,022008,20221006,160949,기타,라인2
202200000123M34538,공장E,품질 문제,20220707,135006,20220728,214934,검사원,라인1
202200000124M80592,공장D,전기 결함,20221126,151559,20221215,195820,관리자,라인3
202200000125M18110,공장A,품질 문제,20220727,000303,20220314,141403,기술자,라인4
202200000126M89309,공장D,기계 결함,20220830,063916,20220209,082625,기술자,라인4
202200000127M37266,공장A,안전 문제,20220717,043859,20221107,185527,검사원,라인3
202200000128M62992,공장A,품질 문제,20221111,192851,20220609,164256,검사원,라인2
202200000129M92948,공장A,품질 문제,20220925,035937,20221105,084149,기술자,라인1
202200000130M16910,공장E,안전 문제,20220709,064936,20221122,194439,기술자,라인2
202200000131M10206,공장B,품질 문제,20221113,193406,20220123,064852,검사원,라인5
202200000132M97054,공장D,품질 문제,20220331,211306,20221118,224631,기술자,라인4
202200000133M97897,공장E,전기 결함,20220227,042104,20220613,194632,기타,라인5
202200000134M33419,공장E,안전 문제,20220228,220126,20220705,130442,검사원,라인4
202200000135M60636,공장E,기계 결함,20220502,205337,20220817,153339,기술자,라인4
202200000136M60015,공장E,품질 문제,20220328,142009,20221204,104902,검사원,라인5
202200000137M64268,공장E,안전 문제,20221205,225755,20220107,001015,관리자,라인5
202200000138M97939,공장C,전기 결함,20220208,060400,20220623,172947,검사원,라인2
202200000139M28141,공장D,기계 결함,20220912,122025,20220908,220917,검사원,라인5
202200000140M90356,공장E,안전 문제,20220310,174420,20220921,051835,관리자,라인2
202200000141M81910,공장D,기계 결함,20221117,201736,20220910,125545,기타,라인2
202200000142M66044,공장C,기계 결함,20221216,123135,20220218,020937,기술자,라인2
202200000143M77214,공장C,기계 결함,20220619,163448,20220419,005455,관리자,라인4
202200000144M43827,공장D,품질 문제,20221116,102051,20220511,130750,검사원,라인4
202200000145M65820,공장A,품질 문제,20220102,225225,20221020,134116,기술자,라인5
202200000146M72623,공장B,전기 결함,20221026,033351,20220412,080542,관리자,라인4
202200000147M91734,공장A,전기 결함,20220325,155917,20220318,064859,기술자,라인5
202200000148M85450,공장A,안전 문제,20221127,073440,20221215,005336,기술자,라인4
202200000149M32299,공장A,전기 결함,20220101,192837,20220104,081755,관리자,라인1
202200000150M53585,공장E,기계 결함,20220722,092041,20221230,200157,기술자,라인1
202200000151M74044,공장C,기계 결함,20221003,124840,20220904,105859,기타,라인5
202200000152M52557,공장A,품질 문제,20220405,165508,20221029,055739,관리자,라인4
202200000153M59080,공장C,기계 결함,20220312,080001,20220418,034959,기타,라인4
202200000154M12693,공장D,안전 문제,20220131,152832,20220106,103614,검사원,라인2
202200000155M79163,공장B,기계 결함,20220429,094957,20220926,173321,기술자,라인3
202200000156M35939,공장D,기계 결함,20220723,072027,20221031,105756,검사원,라인5
202200000157M58925,공장D,안전 문제,20220212,105433,20220927,120321,검사원,라인3
202200000158M52941,공장E,전기 결함,20220518,075821,20220221,064253,기술자,라인3
202200000159M31834,공장B,전기 결함,20220104,074814,20221002,230327,관리자,라인5
202200000160M28047,공장D,안전 문제,20221025,165922,20221007,140054,기술자,라인4
202200000161M36105,공장D,품질 문제,20220216,234418,20220828,021337,검사원,라인5
202200000162M85766,공장B,기계 결함,20220414,043143,20221006,175600,검사원,라인3
202200000163M25707,공장B,안전 문제,20220107,002236,20221104,053720,관리자,라인4
202200000164M31976,공장D,기계 결함,20220607,071207,20220812,152804,기술자,라인1
202200000165M54262,공장B,품질 문제,20221102,224200,20220202,160927,검사원,라인5
202200000166M33776,공장D,기계 결함,20220523,125023,20220627,204906,기타,라인5
202200000167M40080,공장D,안전 문제,20220307,022316,20220129,024446,검사원,라인4
202200000168M76842,공장E,기계 결함,20221002,041920,20220529,191834,검사원,라인1
202200000169M71373,공장A,전기 결함,20221015,075730,20220529,030400,관리자,라인1
202200000170M16776,공장D,품질 문제,20220305,133510,20220125,031159,기타,라인4
202200000171M65016,공장C,품질 문제,20221008,191418,20220507,234122,검사원,라인2
202200000172M19474,공장A,품질 문제,20221211,065027,20220210,205751,검사원,라인5
202200000173M68053,공장A,안전 문제,20220302,184257,20221022,232444,기타,라인5
202200000174M31959,공장A,품질 문제,20221008,040429,20221211,224531,기술자,라인3
202200000175M15530,공장E,전기 결함,20220915,213107,20220127,223104,기술자,라인4
202200000176M13748,공장D,안전 문제,20220622,093746,20221214,034541,검사원,라인3
202200000177M23545,공장E,전기 결함,20220122,152716,20220710,164157,검사원,라인3
202200000178M76199,공장D,기계 결함,20220128,073924,20220420,061532,기술자,라인1
202200000179M44766,공장E,기계 결함,20221107,080114,20220128,162008,관리자,라인5
202200000180M83530,공장E,기계 결함,20221227,170248,20220702,055044,기타,라인3
202200000181M71087,공장C,기계 결함,20220904,030313,20221017,023821,기타,라인1
202200000182M78840,공장E,전기 결함,20220612,084024,20220915,085304,관리자,라인4
202200000183M64384,공장B,안전 문제,20220824,224909,20220119,092216,관리자,라인3
202200000184M61005,공장C,안전 문제,20220805,203511,20220127,112215,관리자,라인5
202200000185M56576,공장E,품질 문제,20220520,070153,20220527,022956,관리자,라인3
202200000186M49353,공장A,전기 결함,20220124,125231,20220418,210828,관리자,라인4
202200000187M72003,공장B,기계 결함,20221027,153131,20220326,143622,관리자,라인3
202200000188M93211,공장B,전기 결함,20220516,011009,20220413,123145,기타,라인5
202200000189M62733,공장B,품질 문제,20221026,141639,20221020,194647,관리자,라인1
202200000190M75318,공장C,품질 문제,20220402,175408,20221205,224416,기술자,라인5
202200000191M99474,공장E,전기 결함,20220101,075813,20220528,223920,관리자,라인1
202200000192M33664,공장E,전기 결함,20220227,172151,20221126,013605,관리자,라인2
202200000193M77172,공장A,전기 결함,20220620,192043,20220428,111729,기타,라인5
202200000194M95616,공장A,안전 문제,20221210,184548,20220623,215332,기타,라인5
202200000195M36736,공장B,기계 결함,20220207,232034,20220324,164231,관리자,라인4
202200000196M10854,공장A,전기 결함,20221107,223848,20220822,095013,기타,라인3
202200000197M48623,공장C,전기 결함,20220711,114046,20221223,094659,검사원,라인1
202200000198M17392,공장E,전기 결함,20221028,172012,20220808,183533,기타,라인1
202200000199M65680,공장B,품질 문제,20220419,200745,20220511,084127,기타,라인4
202200000200M56717,공장A,품질 문제,20221102,074506,20220824,101338,기타,라인4
202200000201M97092,공장C,안전 문제,20221009,224331,20220214,224653,기타,라인3
202200000202M60859,공장C,기계 결함,20220325,102121,20221120,185314,기술자,라인3
202200000203M36309,공장A,안전 문제,20220217,102421,20220703,230742,기술자,라인5
202200000204M97455,공장E,기계 결함,20221112,121701,20220613,084632,기술자,라인2
202200000205M73734,공장A,품질 문제,20221217,201451,20220802,001802,관리자,라인3
202200000206M80467,공장B,품질 문제,20220112,173014,20220816,093946,관리자,라인4
202200000207M62662,공장A,품질 문제,20220924,182223,20220127,090028,검사원,라인3
202200000208M22688,공장C,안전 문제,20221128,111221,20220906,173350,기술자,라인1
202200000209M35342,공장A,전기 결함,20221109,103632,20220330,125300,관리자,라인2
202200000210M47157,공장E,전기 결함,20221218,230253,20220917,012847,기타,라인5
202200000211M77863,공장D,품질 문제,20221004,182228,20221027,141247,기타,라인1
202200000212M62083,공장A,전기 결함,20220610,064346,20221020,165228,기술자,라인1
202200000213M75733,공장E,전기 결함,20220424,044607,20220721,062325,검사원,라인2
202200000214M99045,공장E,안전 문제,20220427,095715,20220709,160612,검사원,라인5
202200000215M44698,공장C,기계 결함,20220921,070043,20220222,042548,기타,라인4
202200000216M90623,공장E,품질 문제,20220929,040200,20221010,020657,검사원,라인5
202200000217M32671,공장E,품질 문제,20220314,033934,20220409,163852,기술자,라인3
202200000218M35184,공장E,안전 문제,20221112,093342,20220630,004816,기타,라인1
202200000219M52107,공장E,안전 문제,20220918,092045,20220414,102458,관리자,라인3
202200000220M96202,공장B,전기 결함,20220724,062626,20220218,021428,관리자,라인4
202200000221M61663,공장B,품질 문제,20220621,014047,20220818,204231,검사원,라인3
202200000222M25708,공장C,기계 결함,20220717,120851,20220120,152453,기타,라인5
202200000223M59811,공장A,안전 문제,20220227,032141,20220930,085555,기타,라인3
202200000224M12811,공장E,기계 결함,20220316,211116,20220426,002856,관리자,라인4
202200000225M66250,공장A,기계 결함,20220203,131356,20220101,211540,기타,라인4
202200000226M82082,공장A,품질 문제,20220225,015256,20220706,184350,기타,라인4
202200000227M44754,공장C,품질 문제,20220615,191015,20220118,214006,기타,라인5
202200000228M21411,공장E,안전 문제,20220713,183054,20220411,132818,검사원,라인4
202200000229M12911,공장E,품질 문제,20220107,055518,20220915,180140,기타,라인1
202200000230M77270,공장D,품질 문제,20221018,045703,20220123,121402,기술자,라인4
202200000231M93763,공장A,품질 문제,20220418,140319,20221102,105245,검사원,라인3
202200000232M18680,공장A,기계 결함,20221128,092353,20220102,071750,기타,라인3
202200000233M94896,공장B,안전 문제,20221219,022536,20220331,150131,기타,라인3
202200000234M93879,공장D,전기 결함,20220309,052053,20220927,072105,기술자,라인5
202200000235M81295,공장B,기계 결함,20220618,073820,20220426,114656,검사원,라인3
202200000236M98614,공장B,품질 문제,20220101,093745,20220207,073514,관리자,라인5
202200000237M21111,공장B,기계 결함,20220806,035956,20220512,195648,관리자,라인5
202200000238M47504,공장C,품질 문제,20220810,121916,20220409,121701,검사원,라인4
202200000239M11802,공장C,품질 문제,20220401,220603,20221103,124453,기타,라인1
202200000240M18155,공장B,기계 결함,20220723,130223,20220425,141928,기타,라인4
202200000241M83656,공장D,안전 문제,20220324,041557,20221015,092802,관리자,라인4
202200000242M49384,공장A,품질 문제,20220228,225103,20221121,180253,관리자,라인5
202200000243M57254,공장D,안전 문제,20220826,232333,20220607,133958,관리자,라인5
202200000244M31918,공장E,전기 결함,20220429,171830,20221128,220358,기술자,라인3
202200000245M95981,공장C,품질 문제,20220803,184845,20220518,191057,관리자,라인3
202200000246M70713,공장A,안전 문제,20220607,182123,20221217,103126,기술자,라인4
202200000247M40306,공장A,안전 문제,20221225,121129,20220202,100148,검사원,라인2
202200000248M26646,공장E,전기 결함,20220224,055230,20220908,082730,기타,라인2
202200000249M56843,공장E,안전 문제,20220619,031847,20220629,015514,관리자,라인3
202200000250M26371,공장B,안전 문제,20220905,123529,20220522,152435,기타,라인2
202200000251M87371,공장C,전기 결함,20220524,224854,20220819,070857,기타,라인3
202200000252M12049,공장C,품질 문제,20221221,001751,20220914,044744,관리자,라인5
202200000253M41616,공장D,안전 문제,20220920,165827,20220102,063157,관리자,라인4
202200000254M30932,공장B,안전 문제,20220828,141056,20220302,191634,검사원,라인1
202200000255M39855,공장B,안전 문제,20221003,214432,20220917,041843,기술자,라인4
202200000256M71434,공장B,기계 결함,20221213,160503,20220831,062708,기술자,라인3
202200000257M82694,공장B,전기 결함,20221127,194746,20221218,052857,기타,라인3
202200000258M53016,공장C,기계 결함,20220921,140546,20221005,161522,관리자,라인4
202200000259M17400,공장C,전기 결함,20220930,135910,20221213,022025,검사원,라인3
202200000260M52642,공장B,품질 문제,20220223,060825,20220913,034136,검사원,라인2
202200000261M25151,공장D,품질 문제,20220207,150456,20220419,202141,검사원,라인2
202200000262M61407,공장A,안전 문제,20220727,190949,20220208,114112,검사원,라인3
202200000263M76690,공장A,전기 결함,20220107,021242,20221012,105315,검사원,라인3
202200000264M14499,공장D,품질 문제,20220625,162953,20220823,073958,기술자,라인2
202200000265M16295,공장B,전기 결함,20220318,120516,20220118,074458,기술자,라인3
202200000266M69040,공장C,품질 문제,20220506,125052,20220512,012929,기술자,라인3
202200000267M22183,공장A,기계 결함,20221010,184134,20221215,110943,관리자,라인4
202200000268M39299,공장E,품질 문제,20221209,132550,20220702,101415,기타,라인1
202200000269M22874,공장E,기계 결함,20220127,042836,20220607,162501,검사원,라인2
202200000270M42711,공장D,품질 문제,20220714,194820,20220616,171150,관리자,라인4
202200000271M15539,공장B,안전 문제,20221118,090435,20220318,221731,검사원,라인1
202200000272M63351,공장A,기계 결함,20220131,052503,20220515,163756,기술자,라인3
202200000273M71267,공장B,품질 문제,20221028,063849,20220515,140237,관리자,라인3
202200000274M58354,공장A,안전 문제,20220511,020023,20220120,022900,기술자,라인4
202200000275M12557,공장D,기계 결함,20220428,030540,20221007,123127,검사원,라인3
202200000276M48360,공장D,안전 문제,20221222,214559,20220601,205745,검사원,라인5
202200000277M92018,공장E,전기 결함,20220315,115956,20221027,122635,기타,라인4
202200000278M12200,공장B,전기 결함,20220910,192324,20221106,062109,검사원,라인1
202200000279M78497,공장E,기계 결함,20221027,032029,20220319,065214,기술자,라인4
202200000280M56975,공장B,품질 문제,20220115,234341,20220828,140331,검사원,라인2
202200000281M31357,공장E,기계 결함,20220902,212706,20220621,225405,기타,라인4
202200000282M87505,공장C,안전 문제,20221213,025427,20221117,231957,기타,라인3
202200000283M12869,공장C,품질 문제,20220215,135509,20220320,041911,기술자,라인3
202200000284M71135,공장C,전기 결함,20221123,151553,20220904,002707,관리자,라인5
202200000285M60108,공장C,품질 문제,20220805,092412,20220810,003621,검사원,라인5
202200000286M48467,공장A,전기 결함,20220813,054308,20220418,052031,기타,라인5
202200000287M33328,공장C,품질 문제,20220812,123555,20220219,021404,검사원,라인1
202200000288M96831,공장D,품질 문제,20220419,101917,20220826,234549,검사원,라인5
202200000289M13987,공장D,품질 문제,20221207,105620,20220926,150524,관리자,라인1
202200000290M68871,공장A,안전 문제,20221211,034932,20220425,234558,기타,라인5
202200000291M32399,공장C,안전 문제,20220816,060514,20220823,233928,검사원,라인1
202200000292M56214,공장C,기계 결함,20221013,173155,20220524,063912,기타,라인4
202200000293M96416,공장C,기계 결함,20220811,101923,20220917,051701,기술자,라인4
202200000294M80271,공장E,전기 결함,20220626,144706,20220314,071032,기술자,라인3
202200000295M54064,공장B,안전 문제,20220829,204125,20221121,213747,검사원,라인1
202200000296M80091,공장E,전기 결함,20220721,115513,20220415,191142,기타,라인2
202200000297M50818,공장B,기계 결함,20220806,045720,20220514,090244,검사원,라인3
202200000298M55525,공장C,전기 결함,20221013,170402,20220122,023014,기타,라인4
202200000299M29830,공장C,기계 결함,20220625,222536,20220210,151248,기타,라인1
202200000300M27429,공장E,안전 문제,20220115,234818,20220707,025110,관리자,라인5
202200000301M16893,공장E,품질 문제,20220301,182420,20220408,205053,관리자,라인2
202200000302M89909,공장B,안전 문제,20220609,115640,20221101,102959,관리자,라인4
202200000303M57333,공장D,전기 결함,20220921,004952,20220106,155234,검사원,라인3
202200000304M13436,공장B,전기 결함,20220804,034156,20220518,213730,관리자,라인1
202200000305M84290,공장E,안전 문제,20220825,062154,20220503,132349,관리자,라인2
202200000306M86213,공장E,안전 문제,20220624,001623,20220108,163135,기술자,라인1
202200000307M15895,공장A,기계 결함,20220813,012757,20220215,221442,기타,라인5
202200000308M29738,공장E,전기 결함,20220430,104038,20220531,020215,기타,라인3
202200000309M40746,공장A,전기 결함,20220621,214816,20220629,042009,관리자,라인1
202200000310M59377,공장D,안전 문제,20220928,010545,20220528,182403,기타,라인4
202200000311M58404,공장B,품질 문제,20221114,053300,20220713,184201,기술자,라인3
202200000312M64045,공장B,전기 결함,20220607,092004,20220805,094224,기술자,라인4
202200000313M49790,공장A,품질 문제,20220116,012147,20220104,194718,관리자,라인1
202200000314M15600,공장B,안전 문제,20220228,010933,20220618,222310,기술자,라인3
202200000315M50764,공장E,안전 문제,20220108,154750,20221217,133354,기타,라인4
202200000316M84543,공장C,기계 결함,20220826,062111,20220708,045804,검사원,라인5
202200000317M55714,공장A,전기 결함,20220501,234639,20220904,182011,기타,라인5
202200000318M66835,공장B,품질 문제,20220717,055958,20220424,170353,검사원,라인1
202200000319M83744,공장A,기계 결함,20220629,093450,20221009,164119,관리자,라인3
202200000320M66491,공장A,전기 결함,20220130,163106,20221009,052413,검사원,라인2
202200000321M28589,공장C,기계 결함,20220527,201925,20220709,103110,기술자,라인3
202200000322M53484,공장E,안전 문제,20220322,034551,20221222,172654,기타,라인5
202200000323M92989,공장A,전기 결함,20220602,211455,20220215,211755,검사원,라인4
202200000324M46212,공장B,기계 결함,20220316,072014,20220107,221020,기타,라인2
202200000325M53525,공장D,기계 결함,20221102,215127,20221008,110422,관리자,라인1
202200000326M57202,공장A,품질 문제,20220305,132640,20221021,085824,관리자,라인2
202200000327M42635,공장A,기계 결함,20221216,075727,20220213,085309,기술자,라인1
202200000328M73208,공장C,전기 결함,20220601,160124,20220407,211800,관리자,라인2
202200000329M43828,공장E,전기 결함,20221105,230207,20220107,060300,검사원,라인1
202200000330M28711,공장D,품질 문제,20220817,113241,20220417,143911,관리자,라인1
202200000331M13420,공장B,전기 결함,20220925,193405,20221009,212149,기술자,라인2
202200000332M10301,공장D,안전 문제,20221007,065122,20220708,141628,기타,라인2
202200000333M55236,공장B,전기 결함,20220703,174218,20220507,131349,기타,라인1
202200000334M76235,공장E,전기 결함,20220717,045010,20220516,194947,관리자,라인5
202200000335M64240,공장B,기계 결함,20220707,231109,20220101,005458,검사원,라인2
202200000336M75726,공장C,기계 결함,20220803,072359,20220420,101411,기술자,라인3
202200000337M20492,공장C,전기 결함,20220111,083536,20220824,075319,검사원,라인4
202200000338M16102,공장C,품질 문제,20220524,200754,20221221,050227,기술자,라인1
202200000339M60336,공장C,기계 결함,20220809,084614,20221105,232529,관리자,라인1
202200000340M95314,공장D,품질 문제,20220806,154539,20220109,121201,기술자,라인4
202200000341M36641,공장E,전기 결함,20221016,174159,20221124,044837,기술자,라인5
202200000342M44584,공장B,전기 결함,20220827,190511,20221013,013553,관리자,라인4
202200000343M42745,공장B,안전 문제,20221228,010615,20221012,100743,검사원,라인2
202200000344M33093,공장C,기계 결함,20220414,024402,20220616,074221,관리자,라인4
202200000345M76105,공장C,전기 결함,20220511,174239,20220525,190728,기술자,라인1
202200000346M61885,공장A,안전 문제,20220520,053227,20220421,072529,관리자,라인4
202200000347M46631,공장E,기계 결함,20220619,005407,20220124,161951,기술자,라인3
202200000348M82991,공장D,전기 결함,20221101,043159,20220325,221545,관리자,라인2
202200000349M14014,공장B,전기 결함,20220327,154236,20220331,100615,기타,라인4
